Date,Product,Quantity,Revenue
01/01/2024,Mango,120,6000
05/01/2024,Banana,200,3000
10/01/2024,Orange,80,4800
15/01/2024,Apple,150,12000
20/01/2024,Grapes,60,4200
25/01/2024,Papaya,90,3600
01/02/2024,Mango,140,7000
05/02/2024,Banana,180,2700
10/02/2024,Orange,100,6000
15/02/2024,Apple,130,10400
20/02/2024,Grapes,75,5250
25/02/2024,Papaya,85,3400
01/03/2024,Mango,160,8000
05/03/2024,Banana,220,3300
10/03/2024,Orange,95,5700
15/03/2024,Apple,170,13600
20/03/2024,Grapes,50,3500
25/03/2024,Papaya,100,4000
01/04/2024,Mango,180,9000
05/04/2024,Banana,240,3600
10/04/2024,Orange,110,6600
15/04/2024,Apple,160,12800
20/04/2024,Grapes,80,5600
25/04/2024,Papaya,70,2800
01/05/2024,Mango,200,10000
05/05/2024,Banana,190,2850
10/05/2024,Orange,130,7800
15/05/2024,Apple,180,14400
20/05/2024,Grapes,90,6300
25/05/2024,Papaya,60,2400
01/06/2024,Mango,220,11000
05/06/2024,Banana,210,3150
10/06/2024,Orange,115,6900
15/06/2024,Apple,190,15200
20/06/2024,Grapes,85,5950
25/06/2024,Papaya,75,3000
01/07/2024,Mango,240,12000
05/07/2024,Banana,230,3450
10/07/2024,Orange,120,7200
15/07/2024,Apple,200,16000
20/07/2024,Grapes,95,6650
25/07/2024,Papaya,80,3200
01/08/2024,Mango,260,13000
05/08/2024,Banana,250,3750
10/08/2024,Orange,140,8400
15/08/2024,Apple,210,16800
20/08/2024,Grapes,70,4900
25/08/2024,Papaya,65,2600
